"result"	"date"
"1"	"93"	2018-10-16
"2"	"99"	2018-10-01
"3"	"79"	2018-09-16
"4"	"26"	2018-09-01
"5"	"10"	2018-08-16
"6"	"78"	2018-08-01
"7"	"27"	2018-07-16
"8"	"83"	2018-07-01
"9"	"46"	2018-06-16
"10"	"95"	2018-06-01
"11"	"20"	2018-05-16
"12"	"85"	2018-05-02
"13"	"60"	2018-04-16
"14"	"85"	2018-04-01
"15"	"82"	2018-03-16
"16"	"29"	2018-03-02
"17"	"39"	2018-02-16
"18"	"31"	2018-02-01
"19"	"50"	2018-01-17
"20"	"98"	2017-12-30
"21"	"89"	2017-12-16
"22"	"33"	2017-12-01
"23"	"98"	2017-11-16
"24"	"85"	2017-11-01
"25"	"86"	2017-10-16
"26"	"52"	2017-10-01
"27"	"71"	2017-09-16
"28"	"65"	2017-09-01
"29"	"37"	2017-08-16
"30"	"36"	2017-08-01
"31"	"87"	2017-07-16
"32"	"26"	2017-07-01
"33"	"47"	2017-06-16
"34"	"61"	2017-06-01
"35"	"53"	2017-05-16
"36"	"35"	2017-05-02
"37"	"40"	2017-04-16
"38"	"80"	2017-04-01
"39"	"92"	2017-03-16
"40"	"78"	2017-03-01
"41"	"14"	2017-02-16
"42"	"42"	2017-02-01
"43"	"25"	2017-01-17
"44"	"46"	2016-12-30
"45"	"35"	2016-12-16
"46"	"77"	2016-12-01
"47"	"44"	2016-11-16
"48"	"86"	2016-11-01
"49"	"98"	2016-10-16
"50"	"33"	2016-10-01
"51"	"42"	2016-09-16
"52"	"62"	2016-09-01
"53"	"33"	2016-08-16
"54"	"57"	2016-08-01
"55"	"55"	2016-07-16
"56"	"53"	2016-07-01
"57"	"79"	2016-06-16
"58"	"14"	2016-06-01
"59"	"98"	2016-05-16
"60"	"02"	2016-05-02
"61"	"87"	2016-04-16
"62"	"92"	2016-04-01
"63"	"32"	2016-03-16
"64"	"06"	2016-03-01
"65"	"98"	2016-02-16
"66"	"09"	2016-02-01
"67"	"50"	2016-01-17
"68"	"02"	2015-12-30
"69"	"08"	2015-12-17
"70"	"78"	2015-12-01
"71"	"03"	2015-11-16
"72"	"45"	2015-11-01
"73"	"62"	2015-10-16
"74"	"07"	2015-10-01
"75"	"06"	2015-09-16
"76"	"89"	2015-09-01
"77"	"40"	2015-08-16
"78"	"53"	2015-08-01
"79"	"49"	2015-07-16
"80"	"26"	2015-07-01
"81"	"05"	2015-06-16
"82"	"65"	2015-06-02
"83"	"38"	2015-05-16
"84"	"30"	2015-05-02
"85"	"38"	2015-04-16
"86"	"70"	2015-04-01
"87"	"92"	2015-03-16
"88"	"34"	2015-03-01
"89"	"90"	2015-02-16
"90"	"79"	2015-02-01
"91"	"74"	2015-01-16
"92"	"57"	2014-12-30
"93"	"90"	2014-12-16
"94"	"11"	2014-12-01
"95"	"25"	2014-11-16
"96"	"44"	2014-11-01
"97"	"94"	2014-10-16
"98"	"44"	2014-10-01
"99"	"35"	2014-09-16
"100"	"22"	2014-09-01
"101"	"91"	2014-08-16
"102"	"82"	2014-08-01
"103"	"45"	2014-07-16
"104"	"39"	2014-07-01
"105"	"95"	2014-06-16
"106"	"18"	2014-06-01
"107"	"20"	2014-05-16
"108"	"52"	2014-05-02
"109"	"26"	2014-04-16
"110"	"95"	2014-04-01
"111"	"79"	2014-03-16
"112"	"35"	2014-03-01
"113"	"01"	2014-02-16
"114"	"95"	2014-02-01
"115"	"52"	2014-01-16
"116"	"48"	2013-12-30
"117"	"79"	2013-12-16
"118"	"27"	2013-12-01
"119"	"28"	2013-11-16
"120"	"47"	2013-11-01
"121"	"60"	2013-10-16
"122"	"14"	2013-10-01
"123"	"63"	2013-09-16
"124"	"05"	2013-09-01
"125"	"20"	2013-08-16
"126"	"82"	2013-08-01
"127"	"86"	2013-07-16
"128"	"51"	2013-07-01
"129"	"69"	2013-06-16
"130"	"90"	2013-06-01
"131"	"56"	2013-05-16
"132"	"07"	2013-05-02
"133"	"86"	2013-04-16
"134"	"53"	2013-04-01
"135"	"52"	2013-03-16
"136"	"37"	2013-03-01
"137"	"09"	2013-02-16
"138"	"66"	2013-02-01
"139"	"08"	2013-01-16
"140"	"00"	2012-12-30
"141"	"72"	2012-12-16
"142"	"43"	2012-12-01
"143"	"15"	2012-11-16
"144"	"63"	2012-11-01
"145"	"28"	2012-10-16
"146"	"58"	2012-10-01
"147"	"79"	2012-09-16
"148"	"07"	2012-09-01
"149"	"28"	2012-08-16
"150"	"50"	2012-08-01
"151"	"11"	2012-07-16
"152"	"60"	2012-07-01
"153"	"51"	2012-06-16
"154"	"38"	2012-06-01
"155"	"31"	2012-05-16
"156"	"29"	2012-05-02
"157"	"62"	2012-04-16
"158"	"69"	2012-04-01
"159"	"08"	2012-03-16
"160"	"79"	2012-03-01
"161"	"18"	2012-02-16
"162"	"32"	2012-02-01
"163"	"81"	2012-01-16
"164"	"65"	2011-12-30
"165"	"21"	2011-12-16
"166"	"02"	2011-12-01
"167"	"57"	2011-11-16
"168"	"54"	2011-11-01
"169"	"83"	2011-10-16
"170"	"15"	2011-10-01
"171"	"28"	2011-09-16
"172"	"85"	2011-09-01
"173"	"62"	2011-08-16
"174"	"12"	2011-08-01
"175"	"12"	2011-07-16
"176"	"51"	2011-07-01
"177"	"88"	2011-06-16
"178"	"46"	2011-06-01
"179"	"05"	2011-05-16
"180"	"85"	2011-05-02
"181"	"44"	2011-04-16
"182"	"01"	2011-04-01
"183"	"96"	2011-03-16
"184"	"97"	2011-03-01
"185"	"27"	2011-02-16
"186"	"55"	2011-02-01
"187"	"23"	2011-01-16
"188"	"49"	2010-12-30
"189"	"24"	2010-12-16
"190"	"09"	2010-12-01
"191"	"43"	2010-11-16
"192"	"59"	2010-11-01
"193"	"42"	2010-10-16
"194"	"02"	2010-10-01
"195"	"66"	2010-09-16
"196"	"11"	2010-09-01
"197"	"64"	2010-08-16
"198"	"10"	2010-08-01
"199"	"34"	2010-07-16
"200"	"68"	2010-07-01
"201"	"73"	2010-06-16
"202"	"81"	2010-06-01
"203"	"12"	2010-05-16
"204"	"06"	2010-05-02
"205"	"96"	2010-04-16
"206"	"22"	2010-04-01
"207"	"97"	2010-03-16
"208"	"97"	2010-03-01
"209"	"03"	2010-02-16
"210"	"14"	2010-02-01
"211"	"67"	2010-01-16
"212"	"87"	2009-12-30
"213"	"05"	2009-12-16
"214"	"59"	2009-12-01
"215"	"58"	2009-11-16
"216"	"85"	2009-11-01
